"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.154036667E0,2.250058284E-1,-1.297900173E0,-1.370473328E0,1.900886536E0
1.164092667E0,-1.084772524E-1,-1.485658506E0,-1.136863614E0,1.873874966E0
1.174148667E0,-3.588927412E-1,-1.217611981E0,-6.632005548E-1,1.432207357E0
1.184203667E0,3.366680592E-2,-1.140242062E0,-1.239453598E0,1.684497146E0
1.194259667E0,-4.122503382E-1,-7.957783491E-1,-2.039890643E0,2.228086030E0
1.204315667E0,-4.580138639E-1,-4.454271474E-1,-2.287033153E0,2.374595267E0
1.214370667E0,3.261825398E-1,-1.240786470E-2,-1.928601757E0,1.956030097E0
1.224426667E0,5.942586663E-1,2.737254871E-1,-1.333411921E0,1.485279892E0
1.234482667E0,7.144595861E-1,1.153345015E-1,-6.893569046E-1,9.994836114E-1
1.244537667E0,7.770674783E-1,-4.297732741E-2,-3.298279864E-1,8.452617447E-1
1.254593667E0,5.683800593E-1,-9.101410434E-3,-2.284267420E-1,6.126316217E-1
1.264649667E0,4.130180776E-1,1.823384400E-1,-3.094609648E-1,5.473548464E-1
1.274704292E0,4.411873314E-1,4.413523690E-1,-4.295148271E-1,7.575758455E-1
1.284760292E0,4.864737242E-1,6.777134172E-1,-1.825003713E-1,8.539663610E-1
1.294816292E0,4.839443649E-1,6.593636850E-1,3.109379715E-1,8.750114511E-1
1.304872292E0,6.620933846E-1,4.514952417E-1,6.724093348E-1,1.046111809E0
1.314927292E0,8.380998382E-1,2.934175938E-1,6.416599971E-1,1.095551357E0
1.324983292E0,9.529892935E-1,3.127970206E-1,2.645005542E-1,1.037299915E0
1.335039292E0,1.088076055E0,4.425100446E-1,-2.155406481E-1,1.194228794E0
1.345094292E0,1.091101112E0,4.907726703E-1,-4.251919806E-1,1.269703773E0
1.355150292E0,9.924261318E-1,5.261551224E-1,-1.871050537E-1,1.138752449E0
1.365206292E0,9.999402425E-1,5.032160568E-1,3.763197827E-1,1.180984110E0
1.375261292E0,1.054249035E0,1.874716741E-1,1.180715393E0,1.593949653E0
1.385317292E0,1.071318812E0,-4.311975096E-1,2.460312465E0,2.717865470E0
1.395373292E0,5.666941608E-1,-9.508664618E-1,2.124899803E0,2.395931650E0
1.405428292E0,3.433635597E-1,-7.353486179E-1,1.584158655E0,1.779942350E0
1.415484292E0,4.678320698E-1,-4.096461345E-1,6.895580488E-1,9.285295385E-1
1.425540292E0,3.279837745E-1,-1.929660103E-1,4.538181943E-1,5.922501084E-1
1.435595292E0,4.943490466E-1,-4.014976010E-2,2.497275639E-1,5.552988739E-1
1.445651292E0,6.656629635E-1,-5.646027580E-2,1.884697938E-1,6.941295318E-1
1.455707292E0,7.062215902E-1,-8.300005674E-2,3.008076704E-1,7.720901492E-1
1.465763292E0,5.822386913E-1,1.007299840E-1,7.095011473E-2,5.951322056E-1
1.475818292E0,3.112165913E-1,3.116862689E-1,-2.533510834E-1,5.081248551E-1
1.485874292E0,1.172486606E-1,3.173264931E-1,-6.732758921E-1,7.534877428E-1
1.495930292E0,-5.766575240E-2,8.745257990E-1,-6.104159850E-1,1.068048869E0
1.505985292E0,-1.047214396E-1,1.219793066E0,5.689340830E-3,1.224293295E0
1.516041292E0,7.399820977E-1,-2.814881775E-1,7.085106289E-1,1.062448310E0
1.526097292E0,7.167431431E-1,-9.175314854E-1,1.022045349E0,1.549245447E0
1.536152292E0,3.279110498E-1,-1.230878656E0,1.471003338E0,1.945877371E0
1.546208292E0,-1.197437406E-1,-1.237073342E0,2.117187910E0,2.455030278E0
1.556264292E0,-3.209184377E-1,-1.234472647E0,1.779717613E0,2.189590405E0
1.566319292E0,-5.679416643E-1,-1.179745486E0,7.490955681E-1,1.508476488E0
1.576375292E0,-8.309416037E-1,-1.102624366E0,1.997408867E-3,1.380669559E0
1.586431292E0,-8.578070746E-1,-1.029308614E0,-3.590348285E-1,1.387160844E0
1.596486292E0,-6.747374037E-1,-9.181683934E-1,-5.668776172E-1,1.272656275E0
